scenario,quantum_coupling,diffusion_rate,collapse_enabled,population,max_steps,seed,alive_count,alive_rate,avg_survival_steps,max_survival_steps,avg_final_energy,avg_steps_taken,deadend_escapes,final_coherence_mean,final_pilot_wave_mean
default,0.3,0.1,True,20,500,7030,20,1.0,500.0,500,476.0,500.0,0,0.9013375043869019,1.6830377578735352
default,0.3,0.1,True,20,500,8030,17,0.85,440.0,500,407.0,440.0,0,0.8975704908370972,1.5801503658294678
default,0.3,0.1,True,20,500,9030,12,0.6,340.0,500,330.0,340.0,0,0.9449170827865601,1.3437787294387817
default,0.3,0.1,False,20,500,30,2,0.1,140.0,500,41.0,140.0,0,1.0,0.0007323415484279394
default,0.3,0.1,False,20,500,1030,3,0.15,160.0,500,71.0,160.0,0,1.0,0.0007323415484279394
default,0.3,0.1,False,20,500,2030,2,0.1,140.0,500,28.0,140.0,0,1.0,0.0007323415484279394
default,0.3,0.1,False,20,500,3030,2,0.1,140.0,500,32.0,140.0,0,1.0,0.0007323415484279394
default,0.3,0.1,False,20,500,4030,4,0.2,180.0,500,82.0,180.0,0,1.0,0.0007323415484279394
default,0.3,0.1,False,20,500,5030,7,0.35,240.0,500,118.0,240.0,0,1.0,0.0007323415484279394
default,0.3,0.1,False,20,500,6030,1,0.05,120.0,500,16.0,120.0,0,1.0,0.0007323415484279394
default,0.3,0.1,False,20,500,7030,1,0.05,120.0,500,16.0,120.0,0,1.0,0.0007323415484279394
default,0.3,0.1,False,20,500,8030,4,0.2,180.0,500,87.0,180.0,0,1.0,0.0007323415484279394
default,0.3,0.1,False,20,500,9030,0,0.0,100.0,100,0.0,100.0,0,1.0,0.00047103071119636297
default,0.5,0.1,True,20,500,50,20,1.0,500.0,500,458.0,500.0,0,0.9195016622543335,1.6830439567565918
default,0.5,0.1,True,20,500,1050,19,0.95,480.0,500,442.0,480.0,0,0.909355103969574,1.6434597969055176
default,0.5,0.1,True,20,500,2050,19,0.95,480.0,500,430.0,480.0,0,0.9276137351989746,1.64347505569458
default,0.5,0.1,True,20,500,3050,18,0.9,460.0,500,414.0,460.0,0,0.8946220874786377,1.607465386390686
default,0.5,0.1,True,20,500,4050,19,0.95,480.0,500,430.0,480.0,0,0.9069713354110718,1.6434600353240967
default,0.5,0.1,True,20,500,5050,19,0.95,480.0,500,426.0,480.0,0,0.918850302696228,1.6434755325317383
default,0.5,0.1,True,20,500,6050,19,0.95,480.0,500,438.0,480.0,0,0.9200179576873779,1.6434757709503174
default,0.5,0.1,True,20,500,7050,20,1.0,500.0,500,462.0,500.0,0,0.9113137125968933,1.6794466972351074
default,0.5,0.1,True,20,500,8050,13,0.65,360.0,500,325.0,360.0,0,0.9288542866706848,1.776200771331787
