config,quantum_coupling,seed,phi_agent_mean,phi_agent_final,phi_field_old,alive_rate
classical,0.0,0,0.999999953508377,0.9999999463558197,0.9893530635163188,0.45
classical,0.0,1,0.999999953508377,0.9999999463558197,0.9893530635163188,0.45
classical,0.0,2,0.999999953508377,0.9999999463558197,0.9893530635163188,0.45
classical,0.0,3,0.999999953508377,0.9999999463558197,0.9893530635163188,0.45
classical,0.0,4,0.999999953508377,0.9999999463558197,0.9893530635163188,0.45
classical,0.0,5,0.999999953508377,0.9999999463558197,0.9893530635163188,0.45
classical,0.0,6,0.999999953508377,0.9999999463558197,0.9893530635163188,0.45
classical,0.0,7,0.999999953508377,0.9999999463558197,0.9893530635163188,0.45
classical,0.0,8,0.999999953508377,0.9999999463558197,0.9893530635163188,0.45
classical,0.0,9,0.999999953508377,0.9999999463558197,0.9893530635163188,0.45
quantum_q0.3,0.3,0,0.8596580386161804,0.9999999403953552,0.9892581826075911,1.0
quantum_q0.3,0.3,1,0.8603462909907102,0.9999999403953552,0.989258024096489,1.0
quantum_q0.3,0.3,2,0.8822278343141079,0.9999999403953552,0.9892551047727466,1.0
quantum_q0.3,0.3,3,0.8706035283207892,0.9999999403953552,0.9892580525949597,1.0
quantum_q0.3,0.3,4,0.866369463056326,0.9999999403953552,0.9892581826075911,1.0
quantum_q0.3,0.3,5,0.8882590740919113,0.9999999403953552,0.9892551047727466,1.0
quantum_q0.3,0.3,6,0.8546389239281416,0.9999999403953552,0.9892580172047019,1.0
quantum_q0.3,0.3,7,0.8881760901212692,0.9999999403953552,0.9892551047727466,1.0
quantum_q0.3,0.3,8,0.8819705657660961,0.9999999403953552,0.9892581824213267,1.0
quantum_q0.3,0.3,9,0.8876810167729854,0.9999999403953552,0.9892550762742758,1.0
