scenario,quantum_coupling,diffusion_rate,collapse_enabled,population,max_steps,seed,alive_count,alive_rate,avg_survival_steps,max_survival_steps,avg_final_energy,avg_steps_taken,deadend_escapes,barrier_crossings,first_crossing_latency_mean,first_crossing_latency_median,crossing_toward_frac,wall_crossings,wall_step_crossings,seam_crossings,edge_crossings,edge_crossing_step_mean,final_coherence_mean,final_pilot_wave_mean,anticipatory_index_mean,anticipatory_frac_mean,maze_goal_reached,maze_route_gap_frac,maze_route_edge_frac,phi_mean,phi_final,path_eff_reached,path_eff_mean
default,0.1,0.2,True,20,500,10,20,1.0,500.0,500,320.0,500.0,0,0,nan,nan,nan,0,0,0,20,2.15,0.9739654064178467,6.067256927490234,nan,nan,0,nan,nan,0.9893204359337687,0.9892950560897589,20,0.5698759898187287
default,0.1,0.2,True,20,500,1010,20,1.0,500.0,500,320.0,500.0,0,0,nan,nan,nan,0,0,0,20,1.85,0.9742285013198853,6.002514839172363,nan,nan,0,nan,nan,0.9893202686682343,0.9892947981134057,20,0.5702783364765214
default,0.1,0.2,True,20,500,2010,20,1.0,500.0,500,320.0,500.0,0,0,nan,nan,nan,0,0,0,20,2.15,0.9739990234375,6.093116760253906,nan,nan,0,nan,nan,0.9893204884603619,0.98929513245821,20,0.5518372967079123
default,0.1,0.2,True,20,500,3010,20,1.0,500.0,500,320.0,500.0,0,0,nan,nan,nan,0,0,0,20,1.8,0.973812997341156,6.0599775314331055,nan,nan,0,nan,nan,0.9893203515559434,0.9892949219793081,20,0.5642463411484991
default,0.1,0.2,True,20,500,4010,20,1.0,500.0,500,320.0,500.0,0,0,nan,nan,nan,0,0,0,20,1.7,0.9737207889556885,6.0686492919921875,nan,nan,0,nan,nan,0.9893204884603619,0.98929513245821,20,0.5586177205753382
default,0.1,0.2,True,20,500,5010,0,0.0,100.0,100,0.0,100.0,0,0,nan,nan,nan,0,0,0,20,2.15,0.9766860604286194,3.559725522994995,nan,nan,0,nan,nan,0.9893064312636852,0.9893064312636852,0,nan
default,0.1,0.2,True,20,500,6010,0,0.0,100.0,100,0.0,100.0,0,0,nan,nan,nan,0,0,0,20,1.7,0.9762420058250427,3.575676202774048,nan,nan,0,nan,nan,0.9893064312636852,0.9893064312636852,0,nan
default,0.1,0.2,True,20,500,7010,0,0.0,100.0,100,0.0,100.0,0,0,nan,nan,nan,0,0,0,20,2.0,0.9767048954963684,3.578103542327881,nan,nan,0,nan,nan,0.9893064312636852,0.9893064312636852,0,nan
default,0.1,0.2,True,20,500,8010,20,1.0,500.0,500,320.0,500.0,0,0,nan,nan,nan,0,0,0,20,2.4,0.9740502238273621,6.0621724128723145,nan,nan,0,nan,nan,0.9893204359337687,0.9892950560897589,20,0.568480941976415
default,0.1,0.2,True,20,500,9010,20,1.0,500.0,500,320.0,500.0,0,0,nan,nan,nan,0,0,0,20,2.45,0.9740246534347534,6.0566887855529785,nan,nan,0,nan,nan,0.9893203180283308,0.9892948726192117,20,0.5712729974583883
default,0.1,0.2,False,20,500,10,11,0.55,320.0,500,268.0,320.0,0,0,nan,nan,nan,0,0,0,14,1.3571428571428572,1.0,0.06368522346019745,nan,nan,0,nan,nan,0.9893061572685837,0.9893060252070427,11,0.7266872032823286
default,0.1,0.2,False,20,500,1010,12,0.6,340.0,500,266.0,340.0,0,0,nan,nan,nan,0,0,0,15,1.6666666666666667,1.0,0.06368522346019745,nan,nan,0,nan,nan,0.9893061572685837,0.9893060252070427,12,0.5999505697375639
default,0.1,0.2,False,20,500,2010,8,0.4,260.0,500,202.0,260.0,0,0,nan,nan,nan,0,0,0,15,1.7333333333333334,1.0,0.06368522346019745,nan,nan,0,nan,nan,0.9893061572685837,0.9893060252070427,8,0.7624508047944494
default,0.1,0.2,False,20,500,3010,10,0.5,300.0,500,238.0,300.0,0,0,nan,nan,nan,0,0,0,15,2.3333333333333335,1.0,0.06368522346019745,nan,nan,0,nan,nan,0.9893061572685837,0.9893060252070427,10,0.7028983605850737
default,0.1,0.2,False,20,500,4010,9,0.45,280.0,500,200.0,280.0,0,0,nan,nan,nan,0,0,0,16,2.1875,1.0,0.06368522346019745,nan,nan,0,nan,nan,0.9893061572685837,0.9893060252070427,9,0.6443932662840459
default,0.1,0.2,False,20,500,5010,9,0.45,280.0,500,218.0,280.0,0,0,nan,nan,nan,0,0,0,15,2.2,1.0,0.06368522346019745,nan,nan,0,nan,nan,0.9893061572685837,0.9893060252070427,9,0.7094436776599706
default,0.1,0.2,False,20,500,6010,8,0.4,260.0,500,188.0,260.0,0,0,nan,nan,nan,0,0,0,16,1.75,1.0,0.06368522346019745,nan,nan,0,nan,nan,0.9893061572685837,0.9893060252070427,8,0.6615916113795783
default,0.1,0.2,False,20,500,7010,7,0.35,240.0,500,168.0,240.0,0,0,nan,nan,nan,0,0,0,16,1.8125,1.0,0.06368522346019745,nan,nan,0,nan,nan,0.9893061572685837,0.9893060252070427,7,0.6790619121847996
default,0.1,0.2,False,20,500,8010,12,0.6,340.0,500,270.0,340.0,0,0,nan,nan,nan,0,0,0,15,2.2666666666666666,1.0,0.06368522346019745,nan,nan,0,nan,nan,0.9893061572685837,0.9893060252070427,12,0.6386453920829768
default,0.1,0.2,False,20,500,9010,9,0.45,280.0,500,200.0,280.0,0,0,nan,nan,nan,0,0,0,16,1.9375,1.0,0.06368522346019745,nan,nan,0,nan,nan,0.9893061572685837,0.9893060252070427,9,0.6340260733905602
default,0.3,0.2,True,20,500,30,20,1.0,500.0,500,320.0,500.0,0,0,nan,nan,nan,0,0,0,20,2.35,0.9677624106407166,6.902536392211914,nan,nan,0,nan,nan,0.9892581826075911,0.9891800284385681,20,0.4667442467504828
default,0.3,0.2,True,20,500,1030,20,1.0,500.0,500,320.0,500.0,0,0,nan,nan,nan,0,0,0,20,2.3,0.9681921005249023,6.861392498016357,nan,nan,0,nan,nan,0.9892580527812243,0.9891802631318569,20,0.4717093237134392
default,0.3,0.2,True,20,500,2030,20,1.0,500.0,500,320.0,500.0,0,0,nan,nan,nan,0,0,0,20,2.4,0.9667439460754395,6.957866668701172,nan,nan,0,nan,nan,0.9892581932246685,0.9891796447336674,20,0.4498233991948718
default,0.3,0.2,True,20,500,3030,20,1.0,500.0,500,320.0,500.0,0,0,nan,nan,nan,0,0,0,20,2.35,0.973771870136261,6.134145259857178,nan,nan,0,nan,nan,0.9892554683610797,0.9891791697591543,20,0.554565470227699
default,0.3,0.2,True,20,500,4030,20,1.0,500.0,500,320.0,500.0,0,0,nan,nan,nan,0,0,0,20,2.35,0.966673731803894,6.935262203216553,nan,nan,0,nan,nan,0.9892582438886166,0.9891802044585347,20,0.46676669853612796
default,0.3,0.2,True,20,500,5030,20,1.0,500.0,500,320.0,500.0,0,0,nan,nan,nan,0,0,0,20,2.25,0.9739807844161987,6.072482585906982,nan,nan,0,nan,nan,0.9892549874261022,0.9891785457730293,20,0.5594482175893487
default,0.3,0.2,True,20,500,6030,20,1.0,500.0,500,320.0,500.0,0,0,nan,nan,nan,0,0,0,20,2.4,0.9669755697250366,6.924246788024902,nan,nan,0,nan,nan,0.989258244074881,0.9891802053898573,20,0.4654813244282103
default,0.3,0.2,True,20,500,7030,20,1.0,500.0,500,320.0,500.0,0,0,nan,nan,nan,0,0,0,20,1.95,0.9666422009468079,6.938409805297852,nan,nan,0,nan,nan,0.9892582438886166,0.9891802044585347,20,0.4677710114166376
default,0.3,0.2,True,20,500,8030,0,0.0,100.0,100,0.0,100.0,0,0,nan,nan,nan,0,0,0,20,2.4,0.976280152797699,3.592158794403076,nan,nan,0,nan,nan,0.9892128156498075,0.9892128156498075,0,nan
default,0.3,0.2,True,20,500,9030,20,1.0,500.0,500,320.0,500.0,0,0,nan,nan,nan,0,0,0,20,2.1,0.966697633266449,6.937472343444824,nan,nan,0,nan,nan,0.9892582438886166,0.9891802044585347,20,0.4661899989224613
default,0.3,0.2,False,20,500,30,9,0.45,280.0,500,260.0,280.0,0,0,nan,nan,nan,0,0,0,9,15.777777777777779,1.0,0.06368522346019745,nan,nan,0,nan,nan,0.9892121447250247,0.9892117753624916,9,0.94309032587811
default,0.3,0.2,False,20,500,1030,10,0.5,300.0,500,286.0,300.0,0,0,nan,nan,nan,0,0,0,9,11.777777777777779,1.0,0.06368522346019745,nan,nan,0,nan,nan,0.9892121447250247,0.9892117753624916,10,0.946932458642805
default,0.3,0.2,False,20,500,2030,9,0.45,280.0,500,242.0,280.0,0,0,nan,nan,nan,0,0,0,12,11.166666666666666,1.0,0.06368522346019745,nan,nan,0,nan,nan,0.9892121447250247,0.9892117753624916,9,0.8712677786639631
default,0.3,0.2,False,20,500,3030,11,0.55,320.0,500,292.0,320.0,0,0,nan,nan,nan,0,0,0,12,15.333333333333334,1.0,0.06368522346019745,nan,nan,0,nan,nan,0.9892121447250247,0.9892117753624916,11,0.8577255531147056
default,0.3,0.2,False,20,500,4030,9,0.45,280.0,500,256.0,280.0,0,0,nan,nan,nan,0,0,0,12,3.8333333333333335,1.0,0.06368522346019745,nan,nan,0,nan,nan,0.9892121447250247,0.9892117753624916,9,0.9340593946881552
default,0.3,0.2,False,20,500,5030,9,0.45,280.0,500,256.0,280.0,0,0,nan,nan,nan,0,0,0,10,15.5,1.0,0.06368522346019745,nan,nan,0,nan,nan,0.9892121447250247,0.9892117753624916,9,0.9173758457907388
default,0.3,0.2,False,20,500,6030,9,0.45,280.0,500,270.0,280.0,0,0,nan,nan,nan,0,0,0,9,19.11111111111111,1.0,0.06368522346019745,nan,nan,0,nan,nan,0.9892121447250247,0.9892117753624916,9,0.996579623599031
default,0.3,0.2,False,20,500,7030,11,0.55,320.0,500,302.0,320.0,0,0,nan,nan,nan,0,0,0,11,14.727272727272727,1.0,0.06368522346019745,nan,nan,0,nan,nan,0.9892121447250247,0.9892117753624916,11,0.901274631385013
default,0.3,0.2,False,20,500,8030,10,0.5,300.0,500,272.0,300.0,0,0,nan,nan,nan,0,0,0,11,13.363636363636363,1.0,0.06368522346019745,nan,nan,0,nan,nan,0.9892121447250247,0.9892117753624916,10,0.8872583747888572
default,0.3,0.2,False,20,500,9030,10,0.5,300.0,500,262.0,300.0,0,0,nan,nan,nan,0,0,0,12,9.5,1.0,0.06368522346019745,nan,nan,0,nan,nan,0.9892121447250247,0.9892117753624916,10,0.8095720582954712
default,0.5,0.2,True,20,500,50,20,1.0,500.0,500,320.0,500.0,0,0,nan,nan,nan,0,0,0,20,2.4,0.9677503108978271,6.903011322021484,nan,nan,0,nan,nan,0.9891948053613305,0.9890643786638975,20,0.469344363595258
default,0.5,0.2,True,20,500,1050,20,1.0,500.0,500,320.0,500.0,0,0,nan,nan,nan,0,0,0,20,2.5,0.9667018055915833,6.942564964294434,nan,nan,0,nan,nan,0.9891949065029622,0.9890646701678634,20,0.4710863553358745
default,0.5,0.2,True,20,500,2050,20,1.0,500.0,500,320.0,500.0,0,0,nan,nan,nan,0,0,0,20,2.45,0.9682406187057495,6.851629257202148,nan,nan,0,nan,nan,0.9891945714130997,0.9890645733103156,20,0.46878294107723206
default,0.5,0.2,True,20,500,3050,20,1.0,500.0,500,320.0,500.0,0,0,nan,nan,nan,0,0,0,20,2.45,0.9677881002426147,6.8949384689331055,nan,nan,0,nan,nan,0.989194805547595,0.9890643786638975,20,0.46293908928787764
default,0.5,0.2,True,20,500,4050,20,1.0,500.0,500,320.0,500.0,0,0,nan,nan,nan,0,0,0,20,1.95,0.9681844711303711,6.850762367248535,nan,nan,0,nan,nan,0.9891945714130997,0.9890645733103156,20,0.46999890165922864
default,0.5,0.2,True,20,500,5050,20,1.0,500.0,500,320.0,500.0,0,0,nan,nan,nan,0,0,0,20,2.4,0.9741858243942261,6.088204860687256,nan,nan,0,nan,nan,0.9891896931454539,0.9890620764344931,20,0.5702980202174954
default,0.5,0.2,True,20,500,6050,0,0.0,100.0,100,0.0,100.0,0,0,nan,nan,nan,0,0,0,20,2.35,0.9762423634529114,3.591423988342285,nan,nan,0,nan,nan,0.9891194319352508,0.9891194319352508,0,nan
default,0.5,0.2,True,20,500,7050,20,1.0,500.0,500,320.0,500.0,0,0,nan,nan,nan,0,0,0,20,2.4,0.9673902988433838,6.8849334716796875,nan,nan,0,nan,nan,0.989194524474442,0.989064616151154,20,0.4733599684569569
default,0.5,0.2,True,20,500,8050,20,1.0,500.0,500,320.0,500.0,0,0,nan,nan,nan,0,0,0,20,2.45,0.9681639075279236,6.860361099243164,nan,nan,0,nan,nan,0.9891945706680417,0.9890645705163479,20,0.4712991708891976
default,0.5,0.2,True,20,500,9050,20,1.0,500.0,500,320.0,500.0,0,0,nan,nan,nan,0,0,0,20,2.5,0.9675231575965881,6.904539585113525,nan,nan,0,nan,nan,0.9891948053613305,0.9890643786638975,20,0.46267988937085447
default,0.5,0.2,False,20,500,50,9,0.45,280.0,500,256.0,280.0,0,0,nan,nan,nan,0,0,0,6,14.0,1.0,0.06368522346019745,nan,nan,0,nan,nan,0.9891182029619813,0.9891174053773284,9,0.9464376163594286
default,0.5,0.2,False,20,500,1050,10,0.5,300.0,500,286.0,300.0,0,0,nan,nan,nan,0,0,0,5,37.4,1.0,0.06368522346019745,nan,nan,0,nan,nan,0.9891182029619813,0.9891174053773284,10,0.9356974311085049
default,0.5,0.2,False,20,500,2050,9,0.45,280.0,500,270.0,280.0,0,0,nan,nan,nan,0,0,0,3,3.3333333333333335,1.0,0.06368522346019745,nan,nan,0,nan,nan,0.9891182029619813,0.9891174053773284,9,1.0131448390310356
default,0.5,0.2,False,20,500,3050,10,0.5,300.0,500,290.0,300.0,0,0,nan,nan,nan,0,0,0,2,1.5,1.0,0.06368522346019745,nan,nan,0,nan,nan,0.9891182029619813,0.9891174053773284,10,0.9893924303558286
default,0.5,0.2,False,20,500,4050,10,0.5,300.0,500,286.0,300.0,0,0,nan,nan,nan,0,0,0,4,2.5,1.0,0.06368522346019745,nan,nan,0,nan,nan,0.9891182029619813,0.9891174053773284,10,0.9506616308989602
default,0.5,0.2,False,20,500,5050,10,0.5,300.0,500,282.0,300.0,0,0,nan,nan,nan,0,0,0,6,3.6666666666666665,1.0,0.06368522346019745,nan,nan,0,nan,nan,0.9891182029619813,0.9891174053773284,10,0.9391715035943567
default,0.5,0.2,False,20,500,6050,10,0.5,300.0,500,286.0,300.0,0,0,nan,nan,nan,0,0,0,2,1.0,1.0,0.06368522346019745,nan,nan,0,nan,nan,0.9891182029619813,0.9891174053773284,10,0.9551073241448897
default,0.5,0.2,False,20,500,7050,10,0.5,300.0,500,286.0,300.0,0,0,nan,nan,nan,0,0,0,3,1.3333333333333333,1.0,0.06368522346019745,nan,nan,0,nan,nan,0.9891182029619813,0.9891174053773284,10,0.945310668843289
default,0.5,0.2,False,20,500,8050,9,0.45,280.0,500,270.0,280.0,0,0,nan,nan,nan,0,0,0,3,5.333333333333333,1.0,0.06368522346019745,nan,nan,0,nan,nan,0.9891182029619813,0.9891174053773284,9,1.0188922260143496
default,0.5,0.2,False,20,500,9050,9,0.45,280.0,500,270.0,280.0,0,0,nan,nan,nan,0,0,0,2,5.0,1.0,0.06368522346019745,nan,nan,0,nan,nan,0.9891182029619813,0.9891174053773284,9,1.010382221816588
maze,0.0,0.2,True,20,500,0,0,0.0,100.0,100,0.0,100.0,0,0,nan,nan,nan,0,0,0,0,nan,0.9281827807426453,0.03170377016067505,nan,nan,0,nan,nan,0.37852466106414795,0.37852466106414795,0,nan
maze,0.0,0.2,True,20,500,1000,0,0.0,100.0,100,0.0,100.0,0,0,nan,nan,nan,0,0,0,0,nan,0.9281827807426453,0.03170377016067505,nan,nan,0,nan,nan,0.37852466106414795,0.37852466106414795,0,nan
maze,0.0,0.2,True,20,500,2000,0,0.0,100.0,100,0.0,100.0,0,0,nan,nan,nan,0,0,0,0,nan,0.9281827807426453,0.03170377016067505,nan,nan,0,nan,nan,0.37852466106414795,0.37852466106414795,0,nan
maze,0.0,0.2,True,20,500,3000,0,0.0,100.0,100,0.0,100.0,0,0,nan,nan,nan,0,0,0,0,nan,0.9281827807426453,0.03170377016067505,nan,nan,0,nan,nan,0.37852466106414795,0.37852466106414795,0,nan
maze,0.0,0.2,True,20,500,4000,0,0.0,100.0,100,0.0,100.0,0,0,nan,nan,nan,0,0,0,0,nan,0.9281827807426453,0.03170377016067505,nan,nan,0,nan,nan,0.37852466106414795,0.37852466106414795,0,nan
maze,0.0,0.2,True,20,500,5000,0,0.0,100.0,100,0.0,100.0,0,0,nan,nan,nan,0,0,0,0,nan,0.9281827807426453,0.03170377016067505,nan,nan,0,nan,nan,0.37852466106414795,0.37852466106414795,0,nan
maze,0.0,0.2,True,20,500,6000,0,0.0,100.0,100,0.0,100.0,0,0,nan,nan,nan,0,0,0,0,nan,0.9281827807426453,0.03170377016067505,nan,nan,0,nan,nan,0.37852466106414795,0.37852466106414795,0,nan
maze,0.0,0.2,True,20,500,7000,0,0.0,100.0,100,0.0,100.0,0,0,nan,nan,nan,0,0,0,0,nan,0.9281827807426453,0.03170377016067505,nan,nan,0,nan,nan,0.37852466106414795,0.37852466106414795,0,nan
maze,0.0,0.2,True,20,500,8000,0,0.0,100.0,100,0.0,100.0,0,0,nan,nan,nan,0,0,0,0,nan,0.9281827807426453,0.03170377016067505,nan,nan,0,nan,nan,0.37852466106414795,0.37852466106414795,0,nan
maze,0.0,0.2,True,20,500,9000,0,0.0,100.0,100,0.0,100.0,0,0,nan,nan,nan,0,0,0,0,nan,0.9281827807426453,0.03170377016067505,nan,nan,0,nan,nan,0.37852466106414795,0.37852466106414795,0,nan
maze,0.0,0.2,False,20,500,0,0,0.0,100.0,100,0.0,100.0,0,0,nan,nan,nan,0,0,0,0,nan,1.0,0.022636640816926956,nan,nan,0,nan,nan,0.37852466106414795,0.37852466106414795,0,nan
maze,0.0,0.2,False,20,500,1000,0,0.0,100.0,100,0.0,100.0,0,0,nan,nan,nan,0,0,0,0,nan,1.0,0.022636640816926956,nan,nan,0,nan,nan,0.37852466106414795,0.37852466106414795,0,nan
maze,0.0,0.2,False,20,500,2000,0,0.0,100.0,100,0.0,100.0,0,0,nan,nan,nan,0,0,0,0,nan,1.0,0.022636640816926956,nan,nan,0,nan,nan,0.37852466106414795,0.37852466106414795,0,nan
