scenario,quantum_coupling,diffusion_rate,collapse_enabled,population,max_steps,seed,alive_count,alive_rate,avg_survival_steps,max_survival_steps,avg_final_energy,avg_steps_taken,deadend_escapes,barrier_crossings,first_crossing_latency_mean,first_crossing_latency_median,crossing_toward_frac,wall_crossings,wall_step_crossings,seam_crossings,edge_crossings,edge_crossing_step_mean,final_coherence_mean,final_pilot_wave_mean,anticipatory_index_mean,anticipatory_frac_mean,maze_goal_reached,maze_route_gap_frac,maze_route_edge_frac,phi_mean,phi_final,path_eff_reached,path_eff_mean,config
tunnel,0.0,0.2,True,20,500,9050,10,0.5,300.0,500,245.0,300.0,10,16,27.5,21.5,1.0,0,14,2,11,35.45454545454545,0.8988103866577148,3.958864688873291,nan,nan,0,nan,nan,0.7573520690202713,0.7573520690202713,10,0.4512058373289013,eps0.05
tunnel,0.0,0.2,True,20,500,100,14,0.7,380.0,500,350.0,380.0,5,14,16.5,17.0,0.9333333333333333,0,13,2,12,14.583333333333334,0.8991945385932922,4.4336347579956055,nan,nan,0,nan,nan,0.7573520690202713,0.7573520690202713,14,0.42206944091854354,eps0.1
tunnel,0.0,0.2,True,20,500,1100,11,0.55,320.0,500,280.0,320.0,9,11,12.2,7.0,1.0,0,8,3,13,11.153846153846153,0.8993469476699829,4.190494537353516,nan,nan,0,nan,nan,0.7573520690202713,0.7573520690202713,11,0.48125288459761856,eps0.1
tunnel,0.0,0.2,True,20,500,2100,13,0.65,360.0,500,330.0,360.0,6,14,9.166666666666666,7.0,1.0,2,10,2,11,16.727272727272727,0.8917772769927979,4.204207420349121,nan,nan,0,nan,nan,0.7573520690202713,0.7573520690202713,13,0.4235853060428504,eps0.1
tunnel,0.0,0.2,True,20,500,3100,17,0.85,440.0,500,425.0,440.0,6,17,14.0,22.0,1.0,1,14,2,11,12.636363636363637,0.8965176343917847,4.576764106750488,nan,nan,0,nan,nan,0.7573520690202713,0.7573520690202713,17,0.4074530674274431,eps0.1
tunnel,0.0,0.2,True,20,500,4100,16,0.8,420.0,500,400.0,420.0,7,19,23.333333333333332,17.0,1.0,1,16,2,12,19.416666666666668,0.8868837952613831,4.491202354431152,nan,nan,0,nan,nan,0.7573520690202713,0.7573520690202713,16,0.3847274008558127,eps0.1
tunnel,0.0,0.2,True,20,500,5100,15,0.75,400.0,500,370.0,400.0,9,18,25.333333333333332,24.0,1.0,1,15,2,11,18.272727272727273,0.8989718556404114,4.498252868652344,nan,nan,0,nan,nan,0.7573520690202713,0.7573520690202713,15,0.40242778559426273,eps0.1
tunnel,0.0,0.2,True,20,500,6100,9,0.45,280.0,500,235.0,280.0,9,11,19.25,10.5,0.9166666666666666,0,9,3,11,7.909090909090909,0.9012731313705444,4.1036057472229,nan,nan,0,nan,nan,0.7573520690202713,0.7573520690202713,9,0.48188896437527173,eps0.1
tunnel,0.0,0.2,True,20,500,7100,11,0.55,320.0,500,285.0,320.0,4,13,21.0,20.0,1.0,0,10,3,14,11.071428571428571,0.9015333652496338,4.221860885620117,nan,nan,0,nan,nan,0.7573520690202713,0.7573520690202713,11,0.4915599269950761,eps0.1
tunnel,0.0,0.2,True,20,500,8100,14,0.7,380.0,500,355.0,380.0,7,15,13.0,7.5,1.0,0,13,2,11,13.272727272727273,0.9005230665206909,4.3693647384643555,nan,nan,0,nan,nan,0.7573520690202713,0.7573520690202713,14,0.41638169564132727,eps0.1
