q,seed,anticipatory_index_mean,anticipatory_frac_mean,alive_rate
0.0,0,-4.093552565694936,0.0,0.45
0.0,1,-4.093552565694936,0.0,0.45
0.0,2,-4.093552565694936,0.0,0.45
0.0,3,-4.093552565694936,0.0,0.45
0.0,4,-4.093552565694936,0.0,0.45
0.0,5,-4.093552565694936,0.0,0.45
0.0,6,-4.093552565694936,0.0,0.45
0.0,7,-4.093552565694936,0.0,0.45
0.0,8,-4.093552565694936,0.0,0.45
0.0,9,-4.093552565694936,0.0,0.45
0.1,0,-4.448280067885361,0.030927835051546393,1.0
0.1,1,-4.450453885665466,0.030927835051546393,1.0
0.1,2,-4.448659463824641,0.030927835051546393,1.0
0.1,3,-4.199287619861359,0.01744186046511628,0.9
0.1,4,1.535933164634694,0.1764705882352941,0.0
0.1,5,-4.199287619861359,0.01744186046511628,0.9
0.1,6,1.542428690424023,0.1764705882352941,0.0
0.1,7,-4.199490198232197,0.01744186046511628,0.9
0.1,8,1.5453221633902228,0.1764705882352941,0.0
0.1,9,-4.448522786110447,0.030927835051546393,1.0
0.3,0,1.5453221633902228,0.1764705882352941,0.0
0.3,1,-4.448205551853124,0.030927835051546393,1.0
0.3,2,-3.836554797920949,0.02616279069767442,0.85
0.3,3,1.5440218825363796,0.1764705882352941,0.0
0.3,4,1.5453221633902228,0.1764705882352941,0.0
0.3,5,-4.448852298674895,0.030927835051546393,1.0
0.3,6,1.5330643938595059,0.1764705882352941,0.0
0.3,7,-4.448082984725486,0.030927835051546393,1.0
0.3,8,1.5453221633902228,0.1764705882352941,0.0
0.3,9,-4.448082984725486,0.030927835051546393,1.0
