scenario,quantum_coupling,diffusion_rate,collapse_enabled,population,max_steps,seed,alive_count,alive_rate,avg_survival_steps,max_survival_steps,avg_final_energy,avg_steps_taken,deadend_escapes,barrier_crossings,final_coherence_mean,final_pilot_wave_mean
moving,0.0,0.2,True,20,500,44,9,0.45,280.0,500,270.0,280.0,0,0,0.9235808849334717,9.28853702545166
moving,0.0,0.2,True,20,500,45,9,0.45,280.0,500,270.0,280.0,0,0,0.9235808849334717,9.28853702545166
moving,0.0,0.2,True,20,500,46,9,0.45,280.0,500,270.0,280.0,0,0,0.9235808849334717,9.28853702545166
moving,0.0,0.2,True,20,500,47,9,0.45,280.0,500,270.0,280.0,0,0,0.9235808849334717,9.28853702545166
moving,0.0,0.2,True,20,500,48,9,0.45,280.0,500,270.0,280.0,0,0,0.9235808849334717,9.28853702545166
moving,0.0,0.2,True,20,500,49,9,0.45,280.0,500,270.0,280.0,0,0,0.9235808849334717,9.28853702545166
moving,0.05,0.2,True,20,500,0,18,0.9,460.0,500,288.0,460.0,18,0,0.9229815006256104,12.849918365478516
moving,0.05,0.2,True,20,500,1,20,1.0,500.0,500,320.0,500.0,20,0,0.9273874759674072,12.206342697143555
moving,0.05,0.2,True,20,500,2,20,1.0,500.0,500,320.0,500.0,20,0,0.926221489906311,12.268051147460938
moving,0.05,0.2,True,20,500,3,18,0.9,460.0,500,288.0,460.0,18,0,0.9253363013267517,12.75676155090332
moving,0.05,0.2,True,20,500,4,0,0.0,100.0,100,0.0,100.0,0,0,0.9777631759643555,3.089195728302002
moving,0.05,0.2,True,20,500,5,18,0.9,460.0,500,288.0,460.0,18,0,0.9249076247215271,12.771553039550781
moving,0.05,0.2,True,20,500,6,0,0.0,100.0,100,0.0,100.0,0,0,0.9770076870918274,3.1175003051757812
moving,0.05,0.2,True,20,500,7,18,0.9,460.0,500,288.0,460.0,18,0,0.9249473810195923,12.77999496459961
moving,0.05,0.2,True,20,500,8,0,0.0,100.0,100,0.0,100.0,0,0,0.978203535079956,3.1134326457977295
moving,0.05,0.2,True,20,500,9,20,1.0,500.0,500,320.0,500.0,20,0,0.926307201385498,12.286538124084473
moving,0.05,0.2,True,20,500,10,20,1.0,500.0,500,320.0,500.0,20,0,0.9262968301773071,12.282727241516113
moving,0.05,0.2,True,20,500,11,20,1.0,500.0,500,320.0,500.0,20,0,0.9270703792572021,12.259308815002441
moving,0.05,0.2,True,20,500,12,18,0.9,460.0,500,288.0,460.0,18,0,0.9244323372840881,12.816843032836914
moving,0.05,0.2,True,20,500,13,17,0.85,440.0,500,272.0,440.0,17,0,0.9224958419799805,12.843035697937012
moving,0.05,0.2,True,20,500,14,18,0.9,460.0,500,288.0,460.0,18,0,0.9247346520423889,12.842214584350586
moving,0.05,0.2,True,20,500,15,20,1.0,500.0,500,320.0,500.0,20,0,0.9267438650131226,12.177098274230957
moving,0.05,0.2,True,20,500,16,20,1.0,500.0,500,320.0,500.0,20,0,0.9259579181671143,12.273561477661133
moving,0.05,0.2,True,20,500,17,18,0.9,460.0,500,288.0,460.0,18,0,0.9248723983764648,12.84548568725586
moving,0.05,0.2,True,20,500,18,0,0.0,100.0,100,0.0,100.0,0,0,0.9780750274658203,3.1006970405578613
moving,0.05,0.2,True,20,500,19,20,1.0,500.0,500,320.0,500.0,20,0,0.9269888401031494,12.25908088684082
moving,0.05,0.2,True,20,500,20,18,0.9,460.0,500,288.0,460.0,18,0,0.9249467253684998,12.781905174255371
moving,0.05,0.2,True,20,500,21,20,1.0,500.0,500,320.0,500.0,20,0,0.9262928366661072,12.252156257629395
moving,0.05,0.2,True,20,500,22,18,0.9,460.0,500,288.0,460.0,18,0,0.9245967268943787,12.830097198486328
moving,0.05,0.2,True,20,500,23,18,0.9,460.0,500,288.0,460.0,18,0,0.9249981641769409,12.774114608764648
moving,0.05,0.2,True,20,500,24,0,0.0,100.0,100,0.0,100.0,0,0,0.9767630100250244,3.220384120941162
moving,0.05,0.2,True,20,500,25,0,0.0,100.0,100,0.0,100.0,0,0,0.9767080545425415,3.2812254428863525
moving,0.05,0.2,True,20,500,26,18,0.9,460.0,500,288.0,460.0,18,0,0.9252088069915771,12.776838302612305
moving,0.05,0.2,True,20,500,27,18,0.9,460.0,500,288.0,460.0,18,0,0.9246416687965393,12.840213775634766
moving,0.05,0.2,True,20,500,28,0,0.0,100.0,100,0.0,100.0,0,0,0.9742815494537354,3.3089327812194824
